Name,Description
up-w-in-flat,"Pointed up, rabbit ears in, cord pointed west"
up-w-out-flat,"Pointed up, cord west, rabbit ears extended but layed flat"
up-w-out-45,"pointed up, cord west, rabbit ears extended and at 45degrees"
e-out-45,"Vert, pointed east"
s-out-45,vert pointed south
s-out-flat,"Vert, south, ears flat"
se-out-flat,"pointed south east, ears flat"
up-w,"pointed up, cord pointed west"
up-n,up north flah
e,east
s,south
se,southeast
